date,district,latitude,longitude,precip,pressure,humidity_2m,rh_2m,temp_2m,wetbulbtemp_2m,maxtemp_2m,mintemp_2m,temprange_2m,earthskintemp,windspeed_10m,maxwindspeed_10m,minwindspeed_10m,windspeedrange_10m,windspeed_50m,maxwindspeed_50m,minwindspeed_50m,windspeedrange_50m,year,month,day,season,heat_stress_index,drought_index,is_monsoon,is_winter,temp_2m_lag1,precip_lag1,wetbulb_diff,avg_windspeed,max_avg_windspeed,temp_2m_scaled,precip_scaled,humidity_2m_scaled,windspeed_10m_scaled,windspeed_50m_scaled,earthskintemp_scaled,heat_stress_index_scaled,drought_index_scaled
2006-05-17,Mugu,29.5,82.1,2.74,62.0,6.34,65.18,6.45,-0.09,14.54,-0.14,14.68,8.21,2.78,6.57,0.26,6.31,2.73,5.72,0.42,5.3,2006,5,17,Spring,7.0840000000000005,1.1831877340367334,0,0,4.3,0.0,6.54,2.755,6.145,0.3071696344892221,0.12398190045248869,0.286001003512293,0.35915492957746475,0.21978021978021975,0.36914715719063546,0.31497513354208884,0.3612253271233451
1995-09-14,Mugu,29.5,82.1,0.02,61.81,7.29,73.39,6.7,1.85,13.66,2.09,11.57,9.04,2.76,6.26,0.58,5.68,2.88,5.77,0.93,4.84,1995,9,14,Autumn,7.429,1.3121222016309948,1,0,6.45,2.74,4.85,2.82,6.015,0.3130271790065604,0.0009049773755656109,0.33366783743100853,0.3544600938967135,0.24332810047095757,0.3864966555183946,0.32291858537483886,0.4630150203797673
1990-10-11,Mugu,29.5,82.1,0.0,61.91,4.64,63.74,2.31,-4.66,9.4,-2.93,12.32,3.83,2.55,5.91,0.8,5.11,2.57,5.4,0.97,4.43,1990,10,11,Autumn,2.774,1.2101686972820993,0,0,6.7,0.02,6.970000000000001,2.5599999999999996,5.655,0.21016869728209933,0.0,0.2007024586051179,0.30516431924882625,0.19466248037676606,0.27759197324414714,0.21573954687787808,0.382525946141303
1993-06-23,Mugu,29.5,82.1,0.62,61.78,6.93,54.06,10.47,0.32,18.84,3.17,15.67,13.31,3.29,7.05,0.54,6.51,3.05,5.99,0.79,5.2,1993,6,23,Monsoon,11.163,1.3733046516854885,1,0,2.31,0.0,10.15,3.17,6.52,0.4013589503280225,0.028054298642533934,0.31560461615654795,0.47887323943661975,0.27001569858712715,0.47575250836120403,0.40889206115306687,0.5113166339042526
2000-05-02,Mugu,29.5,82.1,0.0,61.82,1.35,16.17,4.25,-17.15,13.24,-3.74,16.98,6.42,2.45,4.94,0.35,4.6,2.64,4.56,0.43,4.13,2000,5,2,Spring,4.385,1.2556232427366447,0,0,10.47,0.62,21.4,2.545,4.75,0.2556232427366448,0.0,0.03562468640240843,0.2816901408450705,0.20565149136577712,0.3317307692307692,0.2528320132621109,0.4184108753247714
2016-07-28,Mugu,29.5,82.1,4.89,61.76,9.6,83.64,8.79,5.91,13.76,4.56,9.2,10.61,3.06,6.58,0.27,6.3,3.03,6.11,0.32,5.79,2016,7,28,Monsoon,9.75,1.140729282845717,1,0,4.25,0.0,2.879999999999999,3.045,6.345000000000001,0.36199625117150885,0.22126696832579185,0.44957350727546413,0.42488262910798125,0.2668759811616954,0.419314381270903,0.3763584453858906,0.32770571981029883
2015-05-12,Mugu,29.5,82.1,0.73,61.85,6.38,77.12,4.09,0.25,10.09,-0.57,10.67,6.12,2.41,5.47,0.37,5.1,2.36,4.81,0.65,4.16,2015,5,12,Spring,4.728,1.2188427400374033,0,0,8.79,4.89,3.84,2.385,5.14,0.25187441424554824,0.0330316742081448,0.2880080280983442,0.2723004694835681,0.1616954474097331,0.32545986622073575,0.26072941609872907,0.3893738291614892
1993-12-04,Mustang,28.9,83.8,0.0,63.31,1.16,20.13,-0.57,-18.68,7.73,-6.16,13.9,-5.15,2.12,5.42,0.75,4.67,2.12,5.06,0.87,4.19,1993,12,4,Winter,-0.45399999999999996,1.1426897844423618,0,1,4.09,0.73,18.11,2.12,5.24,0.14268978444236174,0.0,0.026091319618665322,0.20422535211267606,0.1240188383045526,0.08988294314381269,0.14141646712101677,0.3292534739514118
1995-05-02,Mustang,28.9,83.8,0.0,63.35,2.82,31.7,5.48,-9.74,12.74,-0.22,12.96,7.27,3.44,7.82,0.25,7.58,3.33,7.25,0.12,7.12,1995,5,2,Spring,5.7620000000000005,1.2844423617619494,0,0,-0.57,0.0,15.22,3.385,7.535,0.28444236176194937,0.0,0.10938283993978926,0.5140845070422535,0.31397174254317106,0.3494983277591973,0.2845367470989133,0.4411626603225375
1986-09-17,Mustang,28.9,83.8,0.01,63.44,5.68,60.49,6.28,-2.4,13.58,1.23,12.34,6.49,2.26,5.19,0.18,5.01,1.92,3.92,0.24,3.68,1986,9,17,Autumn,6.848,1.3027340155296492,1,0,5.48,0.0,8.68,2.09,4.555,0.30318650421743204,0.00045248868778280545,0.25288509784244856,0.23708920187793425,0.09262166405023545,0.3331939799331104,0.30954135199852645,0.45560334372479117
