date,district,latitude,longitude,precip,pressure,humidity_2m,rh_2m,temp_2m,wetbulbtemp_2m,maxtemp_2m,mintemp_2m,temprange_2m,earthskintemp,windspeed_10m,maxwindspeed_10m,minwindspeed_10m,windspeedrange_10m,windspeed_50m,maxwindspeed_50m,minwindspeed_50m,windspeedrange_50m,year,month,day,season
1986-09-17,Makwanpur,27.4,85.0,3.02,94.0,15.65,74.85,24.79,19.94,29.75,20.77,8.99,24.9,1.98,3.44,0.14,3.3,2.48,3.58,0.39,3.19,1986,9,17,Autumn
2006-05-17,Makwanpur,27.4,85.0,0.07,94.01,12.79,44.58,30.24,16.79,35.99,24.35,11.65,32.11,2.08,3.37,0.74,2.63,2.57,3.28,1.08,2.2,2006,5,17,Spring
1995-09-14,Makwanpur,27.4,85.0,0.14,93.85,16.47,71.81,26.32,20.76,30.98,22.35,8.63,26.71,1.72,3.1,0.54,2.56,2.15,3.23,0.64,2.58,1995,9,14,Autumn
1990-10-11,Makwanpur,27.4,85.0,0.0,94.46,13.85,72.03,23.5,18.06,28.49,19.55,8.94,23.5,1.58,2.95,0.52,2.43,2.02,3.28,0.78,2.5,1990,10,11,Autumn
1993-06-23,Makwanpur,27.4,85.0,0.37,93.44,14.49,46.08,31.73,18.62,38.28,25.39,12.89,34.35,2.58,3.27,1.92,1.35,3.31,5.0,1.7,3.31,1993,6,23,Monsoon
2000-05-02,Makwanpur,27.4,85.0,0.59,93.73,5.17,18.95,29.39,2.76,37.2,21.8,15.39,29.72,3.42,5.19,1.49,3.69,4.42,5.68,1.91,3.77,2000,5,2,Spring
2016-07-28,Makwanpur,27.4,85.0,8.13,93.75,19.22,91.85,24.73,23.24,26.67,23.07,3.6,24.57,1.92,2.98,0.6,2.38,2.68,3.73,1.0,2.73,2016,7,28,Monsoon
2015-05-12,Makwanpur,27.4,85.0,8.46,93.89,12.9,52.26,27.61,16.8,33.21,22.94,10.28,27.89,2.71,5.05,0.87,4.18,3.53,5.53,1.05,4.48,2015,5,12,Spring
1993-12-04,Manang,28.6,84.2,0.0,61.63,1.15,21.91,-2.16,-18.87,6.65,-8.49,15.14,-5.99,2.22,5.62,0.62,5.0,2.3,5.38,0.91,4.46,1993,12,4,Winter
1995-05-02,Manang,28.6,84.2,0.0,61.7,2.78,34.55,3.71,-10.11,10.79,-2.19,12.98,5.82,3.84,8.84,0.08,8.76,3.87,8.31,0.24,8.07,1995,5,2,Spring
1986-09-17,Manang,28.6,84.2,0.02,61.77,5.79,63.68,5.44,-2.17,13.15,-0.78,13.93,6.56,2.33,5.29,0.39,4.89,2.08,4.07,0.53,3.54,1986,9,17,Autumn
2006-05-17,Manang,28.6,84.2,0.33,61.91,6.69,67.39,6.73,0.29,13.71,0.37,13.35,9.45,2.59,5.16,0.59,4.57,2.25,3.83,0.79,3.04,2006,5,17,Spring
1995-09-14,Manang,28.6,84.2,0.27,61.72,7.98,79.12,6.89,2.64,12.47,3.04,9.43,8.65,2.56,5.6,0.48,5.12,2.48,4.74,0.62,4.12,1995,9,14,Autumn
1990-10-11,Manang,28.6,84.2,0.0,61.84,5.69,75.14,2.84,-2.45,8.95,-0.87,9.82,3.85,2.35,5.65,0.15,5.49,2.29,4.86,0.22,4.64,1990,10,11,Autumn
1993-06-23,Manang,28.6,84.2,0.08,61.71,7.97,65.73,9.6,2.89,16.5,2.88,13.63,12.61,3.01,5.66,0.14,5.52,2.54,4.42,0.06,4.36,1993,6,23,Monsoon
2000-05-02,Manang,28.6,84.2,0.0,61.69,1.9,23.59,3.69,-14.37,10.92,-2.17,13.09,5.85,1.97,3.38,0.52,2.87,2.05,2.98,0.71,2.27,2000,5,2,Spring
2016-07-28,Manang,28.6,84.2,5.29,61.69,9.58,94.35,6.97,5.61,10.66,4.64,6.02,7.61,1.87,4.19,0.42,3.77,1.88,3.68,0.6,3.08,2016,7,28,Monsoon
2015-05-12,Manang,28.6,84.2,2.69,61.75,6.12,77.08,3.5,-0.63,9.32,-1.91,11.23,3.66,1.6,3.63,0.61,3.02,1.56,2.91,0.81,2.1,2015,5,12,Spring
1993-12-04,Morang,26.5,87.3,0.0,94.44,3.7,27.88,17.59,-1.21,25.15,12.15,13.0,14.84,1.79,2.92,1.04,1.89,2.17,2.59,1.49,1.1,1993,12,4,Winter
1995-05-02,Morang,26.5,87.3,3.19,93.56,6.74,22.77,30.77,6.85,39.36,22.6,16.76,31.07,2.86,5.62,1.09,4.52,3.97,6.68,0.87,5.81,1995,5,2,Spring
1986-09-17,Morang,26.5,87.3,1.68,93.91,17.13,85.29,24.09,21.39,27.51,21.52,5.99,24.25,2.0,3.77,0.62,3.16,2.72,4.31,1.05,3.27,1986,9,17,Autumn
2006-05-17,Morang,26.5,87.3,0.17,93.98,12.42,47.18,28.74,16.3,34.81,22.78,12.03,30.5,2.34,3.61,1.29,2.32,2.83,3.3,2.08,1.22,2006,5,17,Spring
